S.No,Hospital Name,District/Zone,Total Beds,ICU Beds with Ventilator,ICU Beds without Ventilator,Oxygen Supported Beds,Non-Oxygen Beds,Free ICU Beds with Ventilator,Free ICU Beds without Ventilator,Free Oxygen Beds,Free Non-Oxygen Beds,Phone Number,Latitude,Longitude
1,"Apollo Hospitals, Greams Road",Chennai Central,600,40,50,200,310,8,8,29,50,044-28293333,13.0607,80.2512
2,MIOT International Hospital,Chennai West,1000,60,90,350,500,17,15,69,136,044-22490900,13.0155,80.1788
3,Gleneagles Global Health City,Chennai South,1000,55,85,320,540,13,28,71,111,044-44777000,12.926,80.2005
4,Sri Ramachandra Medical Centre,Chennai West,800,80,120,280,320,20,19,91,62,044-24768027,13.0366,80.1574
5,Vijaya Hospital,Chennai Central,750,45,60,250,395,9,16,35,105,044-24809100,13.0505,80.212
6,Rajiv Gandhi Govt General Hospital,Chennai Central,2652,120,180,900,1452,37,33,303,337,044-25305100,13.0838,80.271
7,Govt Stanley Medical College Hospital,Chennai North,1500,70,110,500,820,21,24,100,137,044-25282091,13.0949,80.2882
8,Dr. Rela Institute & Medical Centre,Chennai South,450,50,80,160,160,5,12,56,37,044-22002288,12.9516,80.1373
9,"Fortis Malar Hospital, Adyar",Chennai South,180,20,25,70,65,4,8,18,22,044-42892222,13.0067,80.2565
10,"SIMS Hospital, Vadapalani",Chennai Central,345,40,60,120,125,8,9,40,18,044-28151500,13.05,80.2108
11,"Kauvery Hospital, Alwarpet",Chennai Central,200,22,30,80,68,7,7,28,23,044-40009000,13.0334,80.2665
12,"MGM Healthcare, Nelson Manickam Road",Chennai Central,450,45,55,160,190,12,6,17,42,044-45454545,13.0696,80.2279
13,"KMC Hospital, T.Nagar",Chennai Central,300,25,35,100,140,8,4,21,17,044-28340040,13.0412,80.234
14,"Apollo Speciality Hospital, OMR",Chennai South,250,25,35,90,100,4,4,16,23,044-42004000,12.901,80.2271
15,Madras Medical College Hospital,Chennai Central,2950,130,220,950,1650,20,65,108,252,044-25305100,13.0819,80.2714
